source,original_name,source_sha256,target,target_sha256,action
4/260323_Mathis_UI_Operational_Logic-V1.6.xlsx,260323_Mathis_UI_Operational_Logic-V1.6.xlsx,80b0a260ed1ee9d98cfd48065c0c43642d79ce022f375ac59607e2f00d42ae3d,02_需求与协议/UI操作逻辑/原始需求/UI_Operational_Logic_V1.6.xlsx,80b0a260ed1ee9d98cfd48065c0c43642d79ce022f375ac59607e2f00d42ae3d,逐字节复制；原件保留，公共目录作为后续维护入口
3/260323_Mathis_UI_Operational_Logic-V1.5.xlsx,260323_Mathis_UI_Operational_Logic-V1.5.xlsx,7a1251b81acefee6177127e64e3ec7c4c8350ea81629839d4e3fdc1d7416323d,02_需求与协议/UI操作逻辑/原始需求/UI_Operational_Logic_V1.5.xlsx,7a1251b81acefee6177127e64e3ec7c4c8350ea81629839d4e3fdc1d7416323d,逐字节复制；原件保留，公共目录作为后续维护入口
260323_Mathis_UI_Operational_Logic-V1.6_完整解析.md,260323_Mathis_UI_Operational_Logic-V1.6_完整解析.md,e89675f8c38f83065bb1e900fcbc35ebb4d93d0ca4168bab5ae969723db91098,02_需求与协议/UI操作逻辑/解析/260323_Mathis_UI_Operational_Logic-V1.6_完整解析.md,d975154bd7443adc5c1936d802fb216b6d42b43a63c5aae3d261c6dcdbb4f987,逐字节复制；原件保留，公共目录作为后续维护入口；缺失图片引用改为明确的待补说明
Mathis_operation_process.md,Mathis_operation_process.md,a9d1d4d0e0ca5c37a25c48c17d025125961de0bae86f6198f4c39636e5bae8ff,02_需求与协议/UI操作逻辑/解析/Mathis_operation_process.md,a9d1d4d0e0ca5c37a25c48c17d025125961de0bae86f6198f4c39636e5bae8ff,逐字节复制；原件保留，公共目录作为后续维护入口
10/mathis-ble-specification.md,mathis-ble-specification.md,9c886eef3d1f416512d65076f94a8893554f43c35683b00f7bd5955c0cf1af16,02_需求与协议/BLE协议/Mathis_BLE_Specification_v0.4_Draft.md,9c886eef3d1f416512d65076f94a8893554f43c35683b00f7bd5955c0cf1af16,逐字节复制；原件保留，公共目录作为后续维护入口
10/mathis-ble-specification_old.md,mathis-ble-specification_old.md,9e7df6c66985e0230d47a6caeba6759ea85c4d2cdb1c91007764c167222dc902,02_需求与协议/BLE协议/Mathis_BLE_Specification_v0.3_Draft.md,9e7df6c66985e0230d47a6caeba6759ea85c4d2cdb1c91007764c167222dc902,逐字节复制；原件保留，公共目录作为后续维护入口
3/protocolv1.0.docx,protocolv1.0.docx,3401c68c0eff295852bd987681a16bcf5fb82c362558a75756e6a2d6002f3122,02_需求与协议/BLE协议/历史协议/protocolv1.0.docx,3401c68c0eff295852bd987681a16bcf5fb82c362558a75756e6a2d6002f3122,逐字节复制；原件保留，公共目录作为后续维护入口
3/protocolv1.0_en.docx,protocolv1.0_en.docx,e8ce4e755f219bd3894033f71e8c82f9ff2878b578cbdb84aaf1cd91a9949097,02_需求与协议/BLE协议/历史协议/protocolv1.0_en.docx,e8ce4e755f219bd3894033f71e8c82f9ff2878b578cbdb84aaf1cd91a9949097,逐字节复制；原件保留，公共目录作为后续维护入口
3/protocolv1.0_fixed.docx,protocolv1.0_fixed.docx,46f8087bb3674f48c606303e10226a5505208df9057984bc61d68849d16732bc,02_需求与协议/BLE协议/历史协议/protocolv1.0_fixed.docx,46f8087bb3674f48c606303e10226a5505208df9057984bc61d68849d16732bc,逐字节复制；原件保留，公共目录作为后续维护入口
5/protocolv1.docx,protocolv1.docx,7a38e69da5fabd3aba17a40bdf6bee6b7bced384390bcc7c698e9b4987e23af3,02_需求与协议/BLE协议/历史协议/protocolv1.docx,7a38e69da5fabd3aba17a40bdf6bee6b7bced384390bcc7c698e9b4987e23af3,逐字节复制；原件保留，公共目录作为后续维护入口
EMB1082_蓝牙接口说明.md,EMB1082_蓝牙接口说明.md,247668bb06785b2acc3d6d71c7cee150c2183fa06a8342ee0b4c4207f7eba295,02_需求与协议/模块接口/EMB1082_蓝牙接口说明.md,247668bb06785b2acc3d6d71c7cee150c2183fa06a8342ee0b4c4207f7eba295,逐字节复制；原件保留，公共目录作为后续维护入口
TEST/base command.docx,base command.docx,82a1ada507ede3d282a5f5e25acdb26cb72432cf93874f0482473ef5f66e1444,02_需求与协议/模块接口/base command.docx,82a1ada507ede3d282a5f5e25acdb26cb72432cf93874f0482473ef5f66e1444,逐字节复制；原件保留，公共目录作为后续维护入口
TEST/EMB101x系列合家亲蓝牙 AT 指令.docx,EMB101x系列合家亲蓝牙 AT 指令.docx,ee93a3b8e4156680d0f405a640336a997ea878dd84faec642b0f29891e6cff10,02_需求与协议/模块接口/EMB101x系列合家亲蓝牙 AT 指令.docx,ee93a3b8e4156680d0f405a640336a997ea878dd84faec642b0f29891e6cff10,逐字节复制；原件保留，公共目录作为后续维护入口
TEST/功能指令.docx,功能指令.docx,72c0c21ae33aca610075468a2219edc97f89fa86d2d39f147ff53044649ac1da,02_需求与协议/模块接口/功能指令.docx,72c0c21ae33aca610075468a2219edc97f89fa86d2d39f147ff53044649ac1da,逐字节复制；原件保留，公共目录作为后续维护入口
1/Pt1000温度阻值对照表.xls,Pt1000温度阻值对照表.xls,6ad9079c761683c36a5f31eb0159c3c6aecfed67dabbda5d1435633d5af5d816,02_需求与协议/温度与校准/Pt1000温度阻值对照表.xls,6ad9079c761683c36a5f31eb0159c3c6aecfed67dabbda5d1435633d5af5d816,逐字节复制；原件保留，公共目录作为后续维护入口
4/Coefficient proposal MATHIS.pptx,Coefficient proposal MATHIS.pptx,3468bbd1763bb7e32c22c8873f66f5bf462e7e132ffb3e342a1da4b6a6e040a9,02_需求与协议/温度与校准/Coefficient proposal MATHIS.pptx,3468bbd1763bb7e32c22c8873f66f5bf462e7e132ffb3e342a1da4b6a6e040a9,逐字节复制；原件保留，公共目录作为后续维护入口
TW66GW02-ON.pdf,TW66GW02-ON.pdf,0d61e454e97e34515a0a6cd6f4a52b7bcf308705f48e8adbea41001b7a5f6b98,03_硬件资料/TW66GW02-ON.pdf,0d61e454e97e34515a0a6cd6f4a52b7bcf308705f48e8adbea41001b7a5f6b98,逐字节复制；原件保留，公共目录作为后续维护入口
ostest/TW66GW02-ON_260408.pdf,TW66GW02-ON_260408.pdf,4a7d0bc3482cbc5191b93c23953307c8c68b2fb31654c372604c2cbe00681bf9,03_硬件资料/历史版本/TW66GW02-ON_260408.pdf,4a7d0bc3482cbc5191b93c23953307c8c68b2fb31654c372604c2cbe00681bf9,逐字节复制；原件保留，公共目录作为后续维护入口
